Date,Open,High,Low,Close,Target_Close,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_6,Close_Lag_12,Close_MA_3,Close_MA_6,Close_MA_12,Close_STD_3,Close_STD_6,Close_STD_12,Return_1M,Month,Year
2006-07-01,16.0,17.2,13.82,16.16,17.84,15.62,18.03,19.49,15.33,12.46,16.60333333333333,17.583333333333332,15.638333333333334,1.264687049563386,1.9021111078658552,2.4674198276865256,0.03457106274007682,7,2006
2006-08-01,15.9,18.6,15.7,17.84,18.46,16.16,15.62,18.03,16.12,13.42,16.54,17.869999999999997,16.006666666666668,1.1577564510725067,1.7619080566249774,2.4358695790334512,0.10396039603960405,8,2006
2006-09-01,18.0,18.88,16.8,18.46,22.78,17.84,16.16,15.62,20.08,13.3,17.486666666666668,17.599999999999998,16.436666666666664,1.1900140055198252,1.4524599822370345,2.3691591655089677,0.034753363228699596,9,2006
2006-10-01,18.78,24.2,18.5,22.78,25.32,18.46,17.84,16.16,19.49,12.99,19.69333333333333,18.148333333333333,17.2525,2.691046884268896,2.529999341238388,2.7321890158226267,0.2340195016251354,10,2006
2006-11-01,22.8,28.47,21.4,25.32,26.97,22.78,18.46,17.84,18.03,13.41,22.186666666666667,19.363333333333333,18.245,3.4682752678144375,3.8617595298861733,3.3113098204898805,0.11150131694468834,11,2006
2006-12-01,25.4,29.66,24.4,26.97,30.16,25.32,22.78,18.46,15.62,13.71,25.02333333333333,21.255,19.35,2.1106949882285884,4.403279459675481,3.83191857951079,0.06516587677725116,12,2006
2007-01-01,27.4,34.16,27.0,30.16,28.63,26.97,25.32,22.78,16.16,15.33,27.483333333333334,23.588333333333335,20.585833333333333,2.4604945302384373,4.850106871674751,4.7086756646801975,0.11827956989247324,1,2007
2007-02-01,30.2,32.6,26.8,28.63,28.14,30.16,26.97,25.32,17.84,16.12,28.586666666666662,25.386666666666667,21.62833333333333,1.5954414227207676,4.256494645440849,5.0055529770506455,-0.05072944297082227,2,2007
2007-03-01,29.3,31.58,23.31,28.14,30.31,28.63,30.16,26.97,18.46,20.08,28.976666666666663,27.0,22.3,1.0536761045659453,2.6295931244205715,5.310384338085313,-0.017114914425427785,3,2007
2007-04-01,27.0,31.99,26.2,30.31,33.51,28.14,28.63,30.16,22.78,19.49,29.026666666666667,28.255,23.201666666666668,1.1380831838373089,1.9116145008866021,5.69457450455069,0.07711442786069655,4,2007
2007-05-01,30.66,36.14,29.11,33.51,35.98,30.31,28.14,28.63,25.32,18.03,30.653333333333332,29.62,24.49166666666667,2.701413210401785,2.2844167745838155,6.151543536283216,0.10557571758495543,5,2007
2007-06-01,33.89,36.38,30.4,35.98,37.93,33.51,30.31,28.14,26.97,15.62,33.26666666666666,31.121666666666666,26.188333333333333,2.84282136852341,3.0328166226573234,6.288427803706118,0.07370934049537459,6,2007
2007-07-01,35.98,41.04,35.02,37.93,36.99,35.98,33.51,30.31,30.16,16.16,35.806666666666665,32.416666666666664,28.002499999999998,2.2150921726495634,4.03376581703333,6.2725406263403976,0.054196775986659285,7,2007
